pattern,feature,feature_type,mean_in,mean_out,effect_size_diff,cohens_d,p_value,sig
mixed-direction-moderate-variance,flesch_kincaid_grade_est,numeric,11.176151636977156,11.16980195629111,0.006349680686046355,0.0018041773203980604,0.7204438389863211,
mixed-direction-moderate-variance,percent_count_per_100_words,numeric,0.32253968049338744,0.35261735126785737,-0.030077670774469933,-0.03986901670436489,0.7119153873011641,
mixed-direction-moderate-variance,source_cue_count_per_100_words,numeric,0.20195273420304383,0.2239170252387589,-0.021964291035715067,-0.05498265825713099,0.5447576146072529,
mixed-direction-moderate-variance,normative_cue_count_per_100_words,numeric,0.46711186213958417,0.35830300363422424,0.10880885850535993,0.14837737193806919,0.32040610665822333,
mixed-direction-moderate-variance,stats_cue_count_per_100_words,numeric,18.204319356108428,19.37528613802042,-1.1709667819119929,-0.06289161216602644,0.9039295322182297,
mixed-direction-moderate-variance,citation_count_per_100_words,numeric,2.2729048166997496,2.2614676171571015,0.011437199542648102,0.006211167934615712,0.9591875041687914,
agreement-with-variable-strength,has_percent,binary,0.31875,0.31223628691983124,0.006513713080168737,,0.854377650023867,
agreement-with-variable-strength,has_normative_language,binary,0.51875,0.5031645569620253,0.015585443037974711,,0.7330319425792725,
agreement-with-variable-strength,has_source_cue,binary,0.4875,0.4419831223628692,0.045516877637130804,,0.3029085802320803,
agreement-with-variable-strength,has_strict_source,binary,0.79375,0.6867088607594937,0.10704113924050629,,0.00656100184361995,**
agreement-with-variable-strength,has_strict_statistics,binary,0.31875,0.3111814345991561,0.007568565400843885,,0.853977982763334,
agreement-with-variable-strength,avg_word_length,numeric,5.4787662514385005,5.391619084844988,0.08714716659351218,0.17183974970088195,0.014987783542642148,*
agreement-with-variable-strength,flesch_kincaid_grade_est,numeric,11.198826939043098,11.16724751641748,0.03157942262561875,0.00897291450172682,0.8092054970078992,
agreement-with-variable-strength,percent_count_per_100_words,numeric,0.29715782329374596,0.3508729838678503,-0.05371516057410436,-0.07121143604904075,0.8172948953465411,
agreement-with-variable-strength,source_cue_count_per_100_words,numeric,0.2651342756118059,0.20885134810564937,0.056282927506156544,0.14101879092091146,0.11848605933372844,
agreement-with-variable-strength,normative_cue_count_per_100_words,numeric,0.38276660426990494,0.39434617280634143,-0.01157956853643649,-0.015753242061790195,0.7728702053155742,
agreement-with-variable-strength,stats_cue_count_per_100_words,numeric,19.01822385102694,19.003230855583457,0.01499299544348176,0.0008049162856694586,0.0553738806140156,
agreement-with-variable-strength,citation_count_per_100_words,numeric,2.915418018465104,2.155318836176771,0.7600991822883332,0.41720610259676816,6.041622212115951e-06,***
polarizing-effective,has_percent,binary,0.3147208121827411,0.3123249299719888,0.0023958822107523203,,0.946120502755756,
polarizing-effective,has_normative_language,binary,0.5101522842639594,0.5028011204481793,0.0073511638157801595,,0.8506879172612872,
polarizing-effective,has_source_cue,binary,0.4619289340101523,0.4411764705882353,0.020752463421917,,0.5282662137569436,
polarizing-effective,has_strict_source,binary,0.6649746192893401,0.7226890756302521,-0.05771445634091199,,0.046763814863895165,*
polarizing-effective,has_strict_statistics,binary,0.3147208121827411,0.31092436974789917,0.003796442434841951,,0.892518277855038,
polarizing-effective,avg_word_length,numeric,5.372045843720015,5.42194878184527,-0.04990293812525515,-0.09832992407700947,0.04570603327062793,*
polarizing-effective,flesch_kincaid_grade_est,numeric,10.966649926257151,11.285018046029899,-0.3183681197727477,-0.09054512011897325,0.8472013670471165,
polarizing-effective,percent_count_per_100_words,numeric,0.35279471061450246,0.3377755244420274,0.015019186172475052,0.019905943320052827,0.8309743085088579,
polarizing-effective,source_cue_count_per_100_words,numeric,0.2194889656729355,0.215593710962056,0.003895254710879481,0.009747810327511656,0.6615742420306175,
polarizing-effective,normative_cue_count_per_100_words,numeric,0.31496168748992565,0.4355573160119969,-0.12059562852207123,-0.16456911621561968,0.2594050413071295,
polarizing-effective,stats_cue_count_per_100_words,numeric,20.418505365892592,18.22561281946183,2.1928925464307625,0.11791570111814668,0.1953441290461807,
polarizing-effective,citation_count_per_100_words,numeric,1.9995591341370502,2.4116006173669433,-0.4120414832298931,-0.2250624938150796,0.0005933370574887427,***
