model,topic,case,paraphrase_idx,n_compositions,pairwise_flip_rate,mean_abs_pairwise_delta_p_pro,max_abs_pairwise_delta_p_pro,p_pro_variance_across_compositions
gpt-4o,Dakota-Access-Pipeline,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,Dakota-Access-Pipeline,75pro,0,3,0.0,0.0,0.0,0.0
gpt-4o,Daylight-Saving-Time,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,Daylight-Saving-Time,75pro,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
gpt-4o,Electoral-College,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,Electoral-College,75pro,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
gpt-4o,GMOs,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,GMOs,75pro,0,3,0.0,0.0,0.0,0.0
gpt-4o,Internet,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,Internet,75pro,0,3,0.0,0.0,0.0,0.0
gpt-4o,MAID-medical-aid-in-dying,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,MAID-medical-aid-in-dying,75pro,0,3,0.0,0.0,0.0,0.0
gpt-4o,Obamacare,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,Obamacare,75pro,0,3,0.0,0.0,0.0,0.0
gpt-4o,Olympics,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,Olympics,75pro,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
gpt-4o,Pokemon-GO,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,Pokemon-GO,75pro,0,3,0.0,0.0,0.0,0.0
gpt-4o,Ronald-Reagan,75con,0,4,0.0,0.0,0.0,0.0
gpt-4o,Ronald-Reagan,75pro,0,4,0.5,0.5,1.0,0.25
gpt-4o,Santa-Claus,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,Santa-Claus,75pro,0,3,0.0,0.0,0.0,0.0
gpt-4o,Saturday-Halloween,75con,0,3,0.0,0.0,0.0,0.0
gpt-4o,Saturday-Halloween,75pro,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
grok-3,American-Civil-Liberties-Union-ACLU,75con,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
grok-3,American-Civil-Liberties-Union-ACLU,75pro,0,3,0.0,0.0,0.0,0.0
grok-3,American-socialism,75con,0,3,0.0,0.0,0.0,0.0
grok-3,American-socialism,75pro,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
grok-3,Big-Three-Auto,75con,0,4,0.0,0.0,0.0,0.0
grok-3,Big-Three-Auto,75pro,0,4,0.0,0.0,0.0,0.0
grok-3,Bill-Clinton,75con,0,4,0.0,0.0,0.0,0.0
grok-3,Bill-Clinton,75pro,0,4,0.0,0.0,0.0,0.0
grok-3,Cuba-Embargo,75con,0,4,0.0,0.0,0.0,0.0
grok-3,Cuba-Embargo,75pro,0,4,0.0,0.0,0.0,0.0
grok-3,DACA-and-the-DREAM-Act,75con,0,4,0.0,0.0,0.0,0.0
grok-3,DACA-and-the-DREAM-Act,75pro,0,4,0.0,0.0,0.0,0.0
grok-3,DARE-Drug-Abuse-Resistance-Education,75con,0,4,0.0,0.0,0.0,0.0
grok-3,DARE-Drug-Abuse-Resistance-Education,75pro,0,4,0.5,0.5,1.0,0.25
grok-3,DC-and-Puerto-Rico-statehood,75con,0,3,0.0,0.0,0.0,0.0
grok-3,DC-and-Puerto-Rico-statehood,75pro,0,3,0.0,0.0,0.0,0.0
grok-3,Dakota-Access-Pipeline,75con,0,3,0.0,0.0,0.0,0.0
grok-3,Dakota-Access-Pipeline,75pro,0,3,0.0,0.0,0.0,0.0
grok-3,Daylight-Saving-Time,75con,0,3,0.0,0.0,0.0,0.0
grok-3,Daylight-Saving-Time,75pro,0,3,0.0,0.0,0.0,0.0
grok-3,Electoral-College,75con,0,3,0.6666666666666666,0.6666666666666666,1.0,0.33333333333333337
grok-3,Electoral-College,75pro,0,3,0.0,0.0,0.0,0.0
